Timestamp,PID,Process,usr_cpu(%),sys_cpu(%),idle_cpu(%),used_mem,free_mem,IDS_cpu(%),IDS_mem_RSS(KB)
2025-12-05 15:30:32,5772,IDPS,    0,9,90,    66,38,    0.00,17456
2025-12-05 15:30:34,5772,IDPS,    9,0,90,    66,37,    0.00,17456
2025-12-05 15:30:36,5772,IDPS,    0,16,83,    66,37,    0.00,17456
2025-12-05 15:30:38,5772,IDPS,    0,9,90,    66,37,    0.00,17456
2025-12-05 15:30:41,5772,IDPS,    0,25,75,    66,37,    0.00,17456
2025-12-05 15:30:43,5772,IDPS,    0,18,81,    66,37,    0.00,17456
2025-12-05 15:30:45,5772,IDPS,    18,27,54,    66,37,    0.00,17456
2025-12-05 15:30:47,5772,IDPS,    7,15,76,    66,37,    0.00,17456
2025-12-05 15:30:49,5772,IDPS,    0,23,76,    66,37,    0.00,17456
2025-12-05 15:30:51,5772,IDPS,    0,16,83,    66,37,    0.00,17456
2025-12-05 15:30:53,5772,IDPS,    0,10,90,    66,37,    0.00,17456
2025-12-05 15:30:55,5772,IDPS,    0,10,80,    66,37,    3.00,17456
2025-12-05 15:30:57,5772,IDPS,    0,9,90,    66,37,    0.00,17456
2025-12-05 15:30:59,5772,IDPS,    0,9,90,    66,37,    0.00,17456
2025-12-05 15:31:01,5772,IDPS,    8,8,83,    66,37,    0.00,17456
2025-12-05 15:31:03,5772,IDPS,    0,16,83,    66,37,    0.00,17456
2025-12-05 15:31:05,5772,IDPS,    0,25,75,    66,37,    0.00,17456
2025-12-05 15:31:07,5772,IDPS,    0,9,90,    66,37,    0.00,17456
2025-12-05 15:31:09,5772,IDPS,    16,66,16,    66,37,    0.00,17456
2025-12-05 15:31:12,5772,IDPS,    0,10,90,    66,37,    0.00,17456
2025-12-05 15:31:14,5772,IDPS,    0,16,83,    66,37,    0.00,17456
2025-12-05 15:31:16,5772,IDPS,    9,0,90,    66,37,    0.00,17456
2025-12-05 15:31:18,5772,IDPS,    0,21,71,    66,37,    7.00,17456
2025-12-05 15:31:20,5772,IDPS,    0,16,83,    66,37,    0.00,17456
2025-12-05 15:31:22,5772,IDPS,    9,0,90,    66,37,    0.00,17456
2025-12-05 15:31:24,5772,IDPS,    0,10,90,    66,37,    0.00,17456
2025-12-05 15:31:26,5772,IDPS,    20,70,10,    66,37,    0.00,17456
2025-12-05 15:31:28,5772,IDPS,    0,9,90,    66,37,    0.00,17456
2025-12-05 15:31:30,5772,IDPS,    0,9,90,    66,37,    0.00,17456
2025-12-05 15:31:32,5772,IDPS,    9,0,90,    66,37,    0.00,17456
2025-12-05 15:31:35,5772,IDPS,    0,10,90,    66,37,    0.00,17456
2025-12-05 15:31:37,5772,IDPS,    53,46,0,    66,37,    0.00,17456
2025-12-05 15:31:39,5772,IDPS,    0,9,90,    66,37,    0.00,17456
2025-12-05 15:31:41,5772,IDPS,    0,23,76,    66,37,    0.00,17456
2025-12-05 15:31:43,5772,IDPS,    9,0,90,    66,37,    0.00,17456
2025-12-05 15:31:45,5772,IDPS,    0,9,90,    66,37,    0.00,17456
2025-12-05 15:31:47,5772,IDPS,    66,33,0,    66,36,    0.00,17456
2025-12-05 15:31:49,5772,IDPS,    0,9,90,    66,36,    0.00,17456
2025-12-05 15:31:51,5772,IDPS,    9,9,81,    66,37,    0.00,17456
2025-12-05 15:31:53,5772,IDPS,    0,9,90,    66,37,    0.00,17456
